date,spend,impressions,clicks,conversions,revenue
2026-07-28,741.53,41980,695,29,2169.79
2026-07-29,790.01,46583,723,30,2418.85
2026-07-30,753.02,44205,701,30,2383.79
2026-07-31,648.86,37377,634,25,1941.88
2026-08-01,571.45,33089,523,21,1693.51
2026-08-02,655.10,38169,593,24,1852.39
2026-08-03,684.39,39609,635,26,2125.40
2026-08-04,738.56,42928,691,27,2050.17
2026-08-05,830.40,48977,770,33,2519.70
2026-08-06,720.73,43144,664,25,1979.91
2026-08-07,697.18,39475,622,23,1785.92
2026-08-08,617.70,35220,561,23,1741.91
2026-08-09,627.49,37218,577,24,1812.44
2026-08-10,692.93,41047,639,27,2066.96
2026-08-11,795.52,45608,732,29,2239.28
2026-08-12,781.49,45173,731,29,2218.99
2026-08-13,736.00,41913,684,28,2110.34
2026-08-14,692.55,40437,641,26,2033.38
2026-08-15,647.93,36999,598,25,1966.49
2026-08-16,648.13,38269,576,24,1855.63
2026-08-17,725.43,40269,676,27,2077.14
2026-08-18,826.07,47681,771,30,2342.92
2026-08-19,818.73,47714,742,31,2389.55
2026-08-20,794.40,45599,712,30,2317.96
2026-08-21,687.44,40504,652,27,2154.94
2026-08-22,648.49,37697,596,25,1893.08
2026-08-23,668.18,39753,616,25,1984.93
2026-08-24,719.41,41519,688,29,2295.73
2026-08-25,806.36,46125,728,30,2380.26
2026-08-26,826.60,48661,757,31,2442.71
2026-08-27,838.21,48718,760,32,2507.85
