Day,Campaign status,Campaign,Budget,Currency code,Cost,Impr.,Clicks,Campaign ID
2026-02-01,Enabled,Performance Max,85.00,USD,53.42,6874,106,11100000003
2026-02-01,Enabled,Display Remarketing,25.00,USD,17.98,18981,82,11100000004
2026-02-01,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-02,Enabled,Brand Search,40.00,USD,37.35,774,40,11100000001
2026-02-02,Enabled,Shopping - All,120.00,USD,108.35,8413,163,11100000002
2026-02-02,Enabled,Performance Max,85.00,USD,81.72,11605,177,11100000003
2026-02-02,Enabled,Display Remarketing,25.00,USD,21.63,26350,107,11100000004
2026-02-02,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-03,Enabled,Brand Search,40.00,USD,34.77,709,38,11100000001
2026-02-03,Enabled,Shopping - All,120.00,USD,120.75,9131,179,11100000002
2026-02-03,Enabled,Performance Max,85.00,USD,73.80,11677,165,11100000003
2026-02-03,Enabled,Display Remarketing,25.00,USD,22.98,30118,111,11100000004
2026-02-03,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-04,Enabled,Brand Search,40.00,USD,36.29,622,34,11100000001
2026-02-04,Enabled,Shopping - All,120.00,USD,108.21,7148,161,11100000002
2026-02-04,Enabled,Performance Max,85.00,USD,73.64,9899,144,11100000003
2026-02-04,Enabled,Display Remarketing,25.00,USD,22.86,27303,114,11100000004
2026-02-04,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-05,Enabled,Brand Search,40.00,USD,38.09,635,36,11100000001
2026-02-05,Enabled,Shopping - All,120.00,USD,103.39,6795,158,11100000002
2026-02-05,Enabled,Performance Max,85.00,USD,84.68,11925,178,11100000003
2026-02-05,Enabled,Display Remarketing,25.00,USD,23.69,28329,123,11100000004
2026-02-05,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-06,Enabled,Brand Search,40.00,USD,40.55,727,40,11100000001
2026-02-06,Enabled,Shopping - All,120.00,USD,122.02,9203,193,11100000002
2026-02-06,Enabled,Performance Max,85.00,USD,84.07,13283,192,11100000003
2026-02-06,Enabled,Display Remarketing,25.00,USD,25.41,32357,126,11100000004
2026-02-06,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-07,Enabled,Brand Search,40.00,USD,26.99,431,26,11100000001
2026-02-07,Enabled,Shopping - All,120.00,USD,76.47,5640,113,11100000002
2026-02-07,Enabled,Performance Max,85.00,USD,55.62,7073,108,11100000003
2026-02-07,Enabled,Display Remarketing,25.00,USD,18.35,24302,94,11100000004
2026-02-07,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-08,Enabled,Brand Search,40.00,USD,26.36,436,25,11100000001
2026-02-08,Enabled,Shopping - All,120.00,USD,81.97,5794,123,11100000002
2026-02-08,Enabled,Performance Max,85.00,USD,55.79,9929,127,11100000003
2026-02-08,Enabled,Display Remarketing,25.00,USD,17.38,21589,79,11100000004
2026-02-08,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-09,Enabled,Brand Search,40.00,USD,36.87,589,36,11100000001
2026-02-09,Enabled,Shopping - All,120.00,USD,112.24,8576,180,11100000002
2026-02-09,Enabled,Performance Max,85.00,USD,76.60,10297,160,11100000003
2026-02-09,Enabled,Display Remarketing,25.00,USD,22.83,24498,100,11100000004
2026-02-09,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-10,Enabled,Brand Search,40.00,USD,34.89,559,32,11100000001
2026-02-10,Enabled,Shopping - All,120.00,USD,109.01,8574,179,11100000002
2026-02-10,Enabled,Performance Max,85.00,USD,85.57,13711,184,11100000003
2026-02-10,Enabled,Display Remarketing,25.00,USD,25.78,28957,120,11100000004
2026-02-10,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-11,Enabled,Brand Search,40.00,USD,42.10,741,39,11100000001
2026-02-11,Enabled,Shopping - All,120.00,USD,118.53,8841,174,11100000002
2026-02-11,Enabled,Performance Max,85.00,USD,87.97,14057,188,11100000003
2026-02-11,Enabled,Display Remarketing,25.00,USD,25.50,28384,113,11100000004
2026-02-11,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-12,Enabled,Brand Search,40.00,USD,38.51,791,41,11100000001
2026-02-12,Enabled,Shopping - All,120.00,USD,122.88,10375,202,11100000002
2026-02-12,Enabled,Performance Max,85.00,USD,84.72,12365,183,11100000003
2026-02-12,Enabled,Display Remarketing,25.00,USD,21.82,23331,96,11100000004
2026-02-12,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-13,Enabled,Brand Search,40.00,USD,35.52,699,38,11100000001
2026-02-13,Enabled,Shopping - All,120.00,USD,118.51,9671,196,11100000002
2026-02-13,Enabled,Performance Max,85.00,USD,81.70,11579,153,11100000003
2026-02-13,Enabled,Display Remarketing,25.00,USD,25.26,30211,120,11100000004
2026-02-13,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-14,Enabled,Brand Search,40.00,USD,28.66,495,26,11100000001
2026-02-14,Enabled,Shopping - All,120.00,USD,79.26,5310,117,11100000002
2026-02-14,Enabled,Performance Max,85.00,USD,61.71,9057,121,11100000003
2026-02-14,Enabled,Display Remarketing,25.00,USD,19.00,21972,90,11100000004
2026-02-14,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-15,Enabled,Brand Search,40.00,USD,27.70,555,29,11100000001
2026-02-15,Enabled,Shopping - All,120.00,USD,85.39,6190,142,11100000002
2026-02-15,Enabled,Performance Max,85.00,USD,54.99,8164,109,11100000003
2026-02-15,Enabled,Display Remarketing,25.00,USD,16.71,18276,81,11100000004
2026-02-15,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-16,Enabled,Brand Search,40.00,USD,35.33,639,34,11100000001
2026-02-16,Enabled,Shopping - All,120.00,USD,120.49,9171,201,11100000002
2026-02-16,Enabled,Performance Max,85.00,USD,82.49,12132,171,11100000003
2026-02-16,Enabled,Display Remarketing,25.00,USD,22.36,27021,115,11100000004
2026-02-16,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-17,Enabled,Brand Search,40.00,USD,42.41,756,46,11100000001
2026-02-17,Enabled,Shopping - All,120.00,USD,115.30,10311,198,11100000002
2026-02-17,Enabled,Performance Max,85.00,USD,81.52,10900,162,11100000003
2026-02-17,Enabled,Display Remarketing,25.00,USD,26.35,29981,118,11100000004
2026-02-17,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-18,Enabled,Brand Search,40.00,USD,36.05,714,36,11100000001
2026-02-18,Enabled,Shopping - All,120.00,USD,107.95,8825,185,11100000002
2026-02-18,Enabled,Performance Max,85.00,USD,88.76,12978,192,11100000003
2026-02-18,Enabled,Display Remarketing,25.00,USD,26.16,28054,124,11100000004
2026-02-18,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-19,Enabled,Brand Search,40.00,USD,35.04,630,35,11100000001
2026-02-19,Enabled,Shopping - All,120.00,USD,112.00,7750,168,11100000002
2026-02-19,Enabled,Performance Max,85.00,USD,79.57,11383,177,11100000003
2026-02-19,Enabled,Display Remarketing,25.00,USD,25.49,30030,130,11100000004
2026-02-19,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-20,Enabled,Brand Search,40.00,USD,42.19,864,44,11100000001
2026-02-20,Enabled,Shopping - All,120.00,USD,111.88,8201,176,11100000002
2026-02-20,Enabled,Performance Max,85.00,USD,90.85,13402,193,11100000003
2026-02-20,Enabled,Display Remarketing,25.00,USD,23.97,24788,109,11100000004
2026-02-20,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-21,Enabled,Brand Search,40.00,USD,25.85,487,28,11100000001
2026-02-21,Enabled,Shopping - All,120.00,USD,91.42,6354,140,11100000002
2026-02-21,Enabled,Performance Max,85.00,USD,59.75,8145,117,11100000003
2026-02-21,Enabled,Display Remarketing,25.00,USD,19.12,26029,98,11100000004
2026-02-21,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-22,Enabled,Brand Search,40.00,USD,28.82,613,31,11100000001
2026-02-22,Enabled,Shopping - All,120.00,USD,85.11,6196,143,11100000002
2026-02-22,Enabled,Performance Max,85.00,USD,62.45,9680,129,11100000003
2026-02-22,Enabled,Display Remarketing,25.00,USD,18.06,18651,82,11100000004
2026-02-22,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-23,Enabled,Brand Search,40.00,USD,42.37,705,39,11100000001
2026-02-23,Enabled,Shopping - All,120.00,USD,113.60,8782,176,11100000002
2026-02-23,Enabled,Performance Max,85.00,USD,90.86,13258,180,11100000003
2026-02-23,Enabled,Display Remarketing,25.00,USD,23.46,27653,113,11100000004
2026-02-23,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-24,Enabled,Brand Search,40.00,USD,36.56,582,34,11100000001
2026-02-24,Enabled,Shopping - All,120.00,USD,126.82,9170,204,11100000002
2026-02-24,Enabled,Performance Max,85.00,USD,89.83,14567,206,11100000003
2026-02-24,Enabled,Display Remarketing,25.00,USD,22.71,23413,102,11100000004
2026-02-24,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-25,Enabled,Brand Search,40.00,USD,37.96,603,35,11100000001
2026-02-25,Enabled,Shopping - All,120.00,USD,111.94,9389,183,11100000002
2026-02-25,Enabled,Performance Max,85.00,USD,87.38,12566,179,11100000003
2026-02-25,Enabled,Display Remarketing,25.00,USD,24.61,27578,114,11100000004
2026-02-25,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-26,Enabled,Brand Search,40.00,USD,35.84,676,34,11100000001
2026-02-26,Enabled,Shopping - All,120.00,USD,109.01,8598,176,11100000002
2026-02-26,Enabled,Performance Max,85.00,USD,89.37,11996,176,11100000003
2026-02-26,Enabled,Display Remarketing,25.00,USD,23.30,26955,109,11100000004
2026-02-26,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-27,Enabled,Brand Search,40.00,USD,42.82,899,46,11100000001
2026-02-27,Enabled,Shopping - All,120.00,USD,106.73,7740,156,11100000002
2026-02-27,Enabled,Performance Max,85.00,USD,90.03,13590,187,11100000003
2026-02-27,Enabled,Display Remarketing,25.00,USD,22.13,27948,103,11100000004
2026-02-27,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-02-28,Enabled,Brand Search,40.00,USD,30.16,637,32,11100000001
2026-02-28,Enabled,Shopping - All,120.00,USD,80.76,5319,120,11100000002
2026-02-28,Enabled,Performance Max,85.00,USD,60.47,10183,131,11100000003
2026-02-28,Enabled,Display Remarketing,25.00,USD,18.48,23955,91,11100000004
2026-02-28,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-01,Enabled,Brand Search,40.00,USD,28.13,462,28,11100000001
2026-03-01,Enabled,Shopping - All,120.00,USD,89.86,7072,137,11100000002
2026-03-01,Enabled,Performance Max,85.00,USD,62.02,8198,124,11100000003
2026-03-01,Enabled,Display Remarketing,25.00,USD,16.86,21314,82,11100000004
2026-03-01,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-02,Enabled,Brand Search,40.00,USD,36.43,603,33,11100000001
2026-03-02,Enabled,Shopping - All,120.00,USD,120.31,8547,190,11100000002
2026-03-02,Enabled,Performance Max,85.00,USD,85.52,11043,161,11100000003
2026-03-02,Enabled,Display Remarketing,25.00,USD,24.47,32668,127,11100000004
2026-03-02,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-03,Enabled,Brand Search,40.00,USD,42.51,723,42,11100000001
2026-03-03,Enabled,Shopping - All,120.00,USD,112.61,9814,198,11100000002
2026-03-03,Enabled,Performance Max,85.00,USD,80.76,10853,152,11100000003
2026-03-03,Enabled,Display Remarketing,25.00,USD,25.55,28544,120,11100000004
2026-03-03,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-04,Enabled,Brand Search,40.00,USD,40.88,756,44,11100000001
2026-03-04,Enabled,Shopping - All,120.00,USD,107.76,7873,168,11100000002
2026-03-04,Enabled,Performance Max,85.00,USD,87.12,12940,171,11100000003
2026-03-04,Enabled,Display Remarketing,25.00,USD,25.90,28937,123,11100000004
2026-03-04,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-05,Enabled,Brand Search,40.00,USD,43.30,813,42,11100000001
2026-03-05,Enabled,Shopping - All,120.00,USD,112.54,8567,171,11100000002
2026-03-05,Enabled,Performance Max,85.00,USD,80.78,13132,184,11100000003
2026-03-05,Enabled,Display Remarketing,25.00,USD,23.23,25814,105,11100000004
2026-03-05,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-06,Enabled,Brand Search,40.00,USD,40.97,760,45,11100000001
2026-03-06,Enabled,Shopping - All,120.00,USD,116.52,9228,177,11100000002
2026-03-06,Enabled,Performance Max,85.00,USD,78.34,9707,149,11100000003
2026-03-06,Enabled,Display Remarketing,25.00,USD,24.27,33647,125,11100000004
2026-03-06,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-07,Enabled,Brand Search,40.00,USD,29.92,652,33,11100000001
2026-03-07,Enabled,Shopping - All,120.00,USD,82.92,6471,125,11100000002
2026-03-07,Enabled,Performance Max,85.00,USD,63.75,8853,120,11100000003
2026-03-07,Enabled,Display Remarketing,25.00,USD,17.45,19568,81,11100000004
2026-03-07,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-08,Enabled,Brand Search,40.00,USD,26.77,417,24,11100000001
2026-03-08,Enabled,Shopping - All,120.00,USD,83.41,6473,147,11100000002
2026-03-08,Enabled,Performance Max,85.00,USD,66.46,9019,130,11100000003
2026-03-08,Enabled,Display Remarketing,25.00,USD,19.04,23922,97,11100000004
2026-03-08,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-09,Enabled,Brand Search,40.00,USD,36.29,638,36,11100000001
2026-03-09,Enabled,Shopping - All,120.00,USD,129.44,9080,196,11100000002
2026-03-09,Enabled,Performance Max,85.00,USD,91.31,12067,172,11100000003
2026-03-09,Enabled,Display Remarketing,25.00,USD,26.44,30195,133,11100000004
2026-03-09,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-10,Enabled,Brand Search,40.00,USD,36.22,650,33,11100000001
2026-03-10,Enabled,Shopping - All,120.00,USD,113.93,9923,193,11100000002
2026-03-10,Enabled,Performance Max,85.00,USD,82.08,12709,163,11100000003
2026-03-10,Enabled,Display Remarketing,25.00,USD,25.51,30256,116,11100000004
2026-03-10,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-11,Enabled,Brand Search,40.00,USD,38.50,606,37,11100000001
2026-03-11,Enabled,Shopping - All,120.00,USD,125.91,10757,220,11100000002
2026-03-11,Enabled,Performance Max,85.00,USD,92.33,11767,174,11100000003
2026-03-11,Enabled,Display Remarketing,25.00,USD,24.85,35178,129,11100000004
2026-03-11,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-12,Enabled,Brand Search,40.00,USD,39.11,663,37,11100000001
2026-03-12,Enabled,Shopping - All,120.00,USD,119.86,9366,210,11100000002
2026-03-12,Enabled,Performance Max,85.00,USD,90.10,14980,197,11100000003
2026-03-12,Enabled,Display Remarketing,25.00,USD,26.35,30898,128,11100000004
2026-03-12,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-13,Enabled,Brand Search,40.00,USD,38.63,730,38,11100000001
2026-03-13,Enabled,Shopping - All,120.00,USD,110.17,8355,167,11100000002
2026-03-13,Enabled,Performance Max,85.00,USD,80.87,9975,154,11100000003
2026-03-13,Enabled,Display Remarketing,25.00,USD,25.30,31785,116,11100000004
2026-03-13,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-14,Enabled,Brand Search,40.00,USD,31.07,589,34,11100000001
2026-03-14,Enabled,Shopping - All,120.00,USD,79.52,5617,118,11100000002
2026-03-14,Enabled,Performance Max,85.00,USD,63.92,8927,132,11100000003
2026-03-14,Enabled,Display Remarketing,25.00,USD,17.75,22507,87,11100000004
2026-03-14,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-15,Enabled,Brand Search,40.00,USD,30.34,601,32,11100000001
2026-03-15,Enabled,Shopping - All,120.00,USD,80.26,6300,138,11100000002
2026-03-15,Enabled,Performance Max,85.00,USD,62.27,9429,126,11100000003
2026-03-15,Enabled,Display Remarketing,25.00,USD,17.00,18270,77,11100000004
2026-03-15,Paused,Video Awareness,30.00,USD,0.00,0,0,11100000005
2026-03-16,Enabled,Brand Search,40.00,USD,37.46,739,40,11100000001
2026-03-16,Enabled,Shopping - All,120.00,USD,116.52,9625,184,11100000002
2026-03-16,Enabled,Performance Max,85.00,USD,85.60,12816,169,11100000003
2026-03-16,Enabled,Display Remarketing,25.00,USD,25.90,31066,135,11100000004
